Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
bPuAZyIk,04/08/2024,15:00,ARGENTINA - LIGA PROFESIONAL,Sarmiento Junin,Belgrano,2.8,2.8,2.9,2.88,1.4,2.25,1.57
tlVEYeXe,04/08/2024,15:00,ARGENTINA - LIGA PROFESIONAL,Union de Santa Fe,River Plate,3.6,3.2,2.15,2.35,1.57,2.0,1.75
xzFHhHOR,04/08/2024,17:30,ARGENTINA - LIGA PROFESIONAL,Boca Juniors,Barracas Central,1.38,4.5,9.0,2.0,1.85,2.25,1.57
rDFDgc9L,04/08/2024,20:00,ARGENTINA - LIGA PROFESIONAL,Atl. Tucuman,Ind. Rivadavia,2.0,3.1,4.2,2.7,1.44,2.25,1.57
U9kvubfS,04/08/2024,20:00,ARGENTINA - LIGA PROFESIONAL,Lanus,Tigre,1.75,3.7,4.75,2.3,1.6,2.1,1.67
dGVCSgE5,04/08/2024,15:00,ARGENTINA - PRIMERA NACIONAL,San Telmo,Brown Adrogue,1.7,3.4,5.25,2.5,1.5,2.38,1.53
EXDMHx0m,04/08/2024,15:30,ARGENTINA - PRIMERA NACIONAL,Deportivo Maipu,All Boys,1.95,2.9,4.75,3.1,1.36,2.5,1.5
4bOnOvNJ,04/08/2024,16:00,ARGENTINA - PRIMERA NACIONAL,Alvarado,Racing Cordoba,2.2,2.8,3.8,2.88,1.4,2.5,1.5
zsFIIIps,04/08/2024,16:00,ARGENTINA - PRIMERA NACIONAL,Gimnasia Jujuy,Tristan Suarez,2.05,3.25,3.7,2.7,1.44,2.38,1.53
GIoEQXrI,04/08/2024,19:10,ARGENTINA - PRIMERA NACIONAL,Def. de Belgrano,Chacarita Juniors,2.05,3.1,4.1,2.88,1.4,2.5,1.5
AHUcWmgU,04/08/2024,15:00,ARGENTINA - TORNEO FEDERAL,Independiente Chivilcoy,Union Sunchales,2.18,3.0,3.4,2.45,1.42,2.1,1.57
lhy4vWS0,04/08/2024,15:00,ARGENTINA - TORNEO FEDERAL,Sol de Mayo,Deportivo Rincon,2.15,3.0,3.4,2.25,1.5,1.93,1.7
6PXtzWg5,04/08/2024,15:30,ARGENTINA - TORNEO FEDERAL,Boca Unidos,Juventud Antoniana,2.57,2.87,2.85,2.35,1.47,1.98,1.65
Sxmethbl,04/08/2024,15:30,ARGENTINA - TORNEO FEDERAL,Cipolletti,Sportivo Estudiantes,1.83,3.0,4.7,2.2,1.53,1.98,1.65
h2RQwEft,04/08/2024,15:30,ARGENTINA - TORNEO FEDERAL,Def. Pronunciamiento,Gimnasia E.R.,2.12,3.1,3.4,2.45,1.42,2.15,1.55
2iRkY9OH,04/08/2024,15:30,ARGENTINA - TORNEO FEDERAL,El Linqueno,Crucero del Norte,1.98,3.15,3.75,2.25,1.5,2.02,1.62
dIvCxAcD,04/08/2024,15:45,ARGENTINA - TORNEO FEDERAL,Juventud U.U.,Huracan Las Heras,2.15,2.85,3.65,2.45,1.42,2.07,1.6
WQP0L7Ti,04/08/2024,11:00,ARGENTINA - TORNEO FEDERAL,Santamarina,Deportivo Camioneros,2.1,3.15,3.35,2.32,1.47,2.07,1.6
d6EBDYm4,04/08/2024,15:30,ARGENTINA - TORNEO FEDERAL,9 de Julio Rafaela,San Martin Formosa,2.12,3.0,3.55,2.25,1.5,1.93,1.7
4KXEc4yo,04/08/2024,15:30,ARGENTINA - TORNEO FEDERAL,Ciudad Bolivar,Kimberley,1.83,3.35,4.1,2.2,1.53,2.05,1.6
Kndr3QDN,04/08/2024,15:30,ARGENTINA - TORNEO FEDERAL,Olimpo Bahia Blanca,Argentino MM,1.83,3.3,4.1,2.25,1.5,2.07,1.6
ltB3FfJi,04/08/2024,15:30,ARGENTINA - TORNEO FEDERAL,Sportivo Las Parejas,Sportivo Belgrano,2.52,2.92,2.85,2.25,1.5,1.91,1.7
j57KBCIG,04/08/2024,17:00,ARGENTINA - TORNEO FEDERAL,Central Norte,Defensores Belgrano VR,1.78,3.05,5.0,2.45,1.42,2.22,1.52
AiHCXTMn,04/08/2024,00:15,AUSTRALIA - NPL ACT,Yoogali,Monaro Panthers,9.0,5.3,1.27,1.4,2.52,1.75,1.87
d8JOUR65,04/08/2024,02:00,AUSTRALIA - NPL ACT,Gungahlin,Canberra Olympic,1.13,6.8,17.5,1.27,3.1,1.65,1.98
I3JX3RyJ,04/08/2024,02:00,AUSTRALIA - NPL NSW,Blacktown City,Sydney Olympic,1.8,4.0,3.55,1.44,2.42,1.45,2.4
W67FSAEJ,04/08/2024,02:00,AUSTRALIA - NPL NSW,Sydney Utd,Sydney FC U23,1.7,4.05,3.95,1.47,2.32,1.52,2.22
Ac6JRUTP,04/08/2024,02:00,AUSTRALIA - NPL NSW,Wollongong Wolves,Rockdale Ilinden,3.0,3.85,2.02,1.42,2.47,1.4,2.52
EihMeepf,04/08/2024,03:00,AUSTRALIA - NPL QUEENSLAND,Peninsula,Brisbane City,1.55,4.45,4.55,1.35,2.7,1.44,2.4
4toZhgUC,04/08/2024,03:15,AUSTRALIA - NPL QUEENSLAND,Wynnum Wolves,Redlands,2.05,4.15,2.77,1.32,2.85,1.33,2.8
rXqwhDqJ,04/08/2024,03:30,AUSTRALIA - NPL QUEENSLAND,Olympic FC,Brisbane Roar U23,1.47,4.75,5.0,1.32,2.82,1.45,2.37
KlTLGdMJ,04/08/2024,04:00,AUSTRALIA - NPL QUEENSLAND,Queensland Lions,Gold Coast Utd,1.38,4.9,6.1,1.34,2.72,1.53,2.2
jefAjfxe,04/08/2024,01:00,AUSTRALIA - NPL TASMANIA,South Hobart,Clarence Zebras,1.12,7.7,15.5,1.1,5.4,1.53,2.2
GWfX5He3,04/08/2024,05:00,AUSTRALIA - QUEENSLAND PREMIER LEAGUE,Brisbane Strikers,Broadbeach Utd.,1.85,4.1,3.3,1.33,2.8,1.35,2.7
ttBF1W3T,04/08/2024,12:00,AUSTRIA - BUNDESLIGA,BW Linz,Austria Vienna,2.9,3.5,2.3,1.88,1.98,1.75,2.0
8SC73hZG,04/08/2024,12:00,AUSTRIA - BUNDESLIGA,SK Rapid,Sturm Graz,3.1,3.4,2.25,1.88,1.98,1.7,2.05
bJ4IhWmB,04/08/2024,05:30,AUSTRIA - 2. LIGA,Floridsdorfer AC,St. Polten,2.55,3.3,2.57,1.88,1.85,1.7,2.05
CdyCPmN9,04/08/2024,10:30,AZERBAIJAN - PREMIER LEAGUE,Sabah Baku,Shamakhi,1.5,4.1,5.5,1.78,1.93,1.85,1.75
CYMmPJBT,04/08/2024,13:00,AZERBAIJAN - PREMIER LEAGUE,Zira,Sabail,1.57,3.75,5.5,1.88,1.82,1.88,1.72
fZkl75Ij,04/08/2024,08:30,BELGIUM - JUPILER PRO LEAGUE,Antwerp,Anderlecht,2.63,3.25,2.5,1.8,2.0,1.62,2.2
nshZU8Ac,04/08/2024,11:00,BELGIUM - JUPILER PRO LEAGUE,Cercle Brugge KSV,Kortrijk,1.65,3.9,4.5,1.67,2.15,1.7,2.05
r9orTnuA,04/08/2024,13:30,BELGIUM - JUPILER PRO LEAGUE,St. Liege,Club Brugge KV,5.0,4.2,1.53,1.6,2.3,1.7,2.05
Ee8FAvPr,04/08/2024,14:15,BELGIUM - JUPILER PRO LEAGUE,Gent,Dender,1.33,4.75,8.0,1.7,2.1,2.0,1.75
faDFleOt,04/08/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Guabira,Universitario de Vinto,1.83,3.4,3.8,1.95,1.85,1.8,1.91
GE1OnZhg,04/08/2024,18:30,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Independiente,1.29,5.0,8.5,1.53,2.4,1.83,1.83
ltFVpDN5,04/08/2024,20:30,BOLIVIA - DIVISION PROFESIONAL,Wilstermann,Tomayapo,1.62,3.7,4.75,1.85,1.95,1.83,1.83
EJr6fRRl,04/08/2024,16:00,BRAZIL - SERIE A,Athletico-PR,Gremio,1.73,3.8,4.5,2.1,1.7,2.0,1.75
fZ1Zam4R,04/08/2024,16:00,BRAZIL - SERIE A,Corinthians,Juventude,1.7,3.5,5.0,2.15,1.67,2.05,1.7
ML3R19ZE,04/08/2024,16:00,BRAZIL - SERIE A,Fluminense,Bahia,1.95,3.5,3.9,2.08,1.73,1.95,1.8
