Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
Yu7bWSec,31/05/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Arsenal Sarandi,Racing Cordoba,2.15,3.1,3.6,2.88,1.4,2.38,1.53
UZAi9df1,31/05/2024,21:10,ARGENTINA - PRIMERA NACIONAL,Colon Santa Fe,Atl. Rafaela,1.5,4.33,6.0,2.15,1.67,2.38,1.53
tA6m46gt,31/05/2024,05:30,AUSTRALIA - NPL NORTHERN NSW,Broadmeadow,Cooks Hill United,1.17,7.0,12.0,1.22,4.0,1.65,1.98
KCk3IBYL,31/05/2024,06:30,AUSTRALIA - NPL NSW,Manly Utd,Sydney FC U23,1.7,4.3,3.7,1.35,2.72,1.4,2.52
WveoOp4p,31/05/2024,06:15,AUSTRALIA - NPL VICTORIA,Heidelberg Utd,Dandenong Thunder,1.42,5.0,5.4,1.28,3.05,1.42,2.45
MgJFvxDE,31/05/2024,07:00,AUSTRALIA - NSW LEAGUE ONE,Blacktown Spartans,Dunbar Rovers,1.75,4.0,3.45,1.4,2.64,1.41,2.81
GfylMTdm,31/05/2024,07:00,AUSTRALIA - NSW LEAGUE ONE,Nepean,Macarthur Rams,2.3,3.5,2.57,1.6,2.07,1.52,2.46
IspKj5Xj,31/05/2024,07:30,AUSTRALIA - VICTORIA PREMIER LEAGUE,Bentleigh Greens,Melbourne Victory U21,2.7,3.85,2.18,1.4,2.5,1.39,2.57
bgXo9DmI,31/05/2024,07:30,AUSTRALIA - VICTORIA PREMIER LEAGUE,Brunswick City,George Cross,2.22,3.65,2.7,1.52,2.2,1.47,2.32
OvX5E8Pc,31/05/2024,07:30,AUSTRALIA - VICTORIA PREMIER LEAGUE,Kingston City,Northcote City,3.3,3.65,1.95,1.47,2.32,1.44,2.42
rDwQT9mI,31/05/2024,13:00,BAHRAIN - PREMIER LEAGUE,Al-Hidd,Malkia,1.82,3.7,3.85,1.62,2.2,1.57,2.25
xGzIVVI5,31/05/2024,13:00,BAHRAIN - PREMIER LEAGUE,Al-Ittihad,East Riffa,6.2,4.45,1.44,1.65,2.15,1.82,1.88
n5YWwMl4,31/05/2024,11:30,BELARUS - VYSSHAYA LIGA,Smorgon,Slavia Mozyr,3.65,3.78,1.95,1.71,2.15,1.62,2.24
vuVOurKi,31/05/2024,13:30,BELARUS - VYSSHAYA LIGA,BATE,Slutsk,2.0,3.62,3.62,1.9,1.91,1.75,2.03
S4PGldS9,31/05/2024,19:00,BRAZIL - SERIE B,Ceara,Coritiba,2.1,3.2,3.7,2.25,1.62,2.0,1.73
0fPylPya,31/05/2024,21:30,BRAZIL - SERIE B,Goias,Sport Recife,2.1,3.1,3.75,2.1,1.7,1.83,1.83
GIF3oYp1,31/05/2024,14:00,BULGARIA - PARVA LIGA,CSKA Sofia,CSKA 1948 Sofia,1.7,3.4,5.75,2.15,1.67,2.1,1.67
MLiDXbQn,31/05/2024,21:30,CHILE - PRIMERA DIVISION,Cobreloa,O'Higgins,2.55,3.4,2.63,1.75,2.05,1.57,2.25
CndXHnWg,31/05/2024,19:00,COLOMBIA - PRIMERA A,La Equidad,Once Caldas,2.0,3.6,3.7,2.03,1.83,1.8,1.91
YeBAVcEl,31/05/2024,13:00,CZECH REPUBLIC - FORTUNA:LIGA,Mlada Boleslav,Hradec Kralove,2.25,3.3,2.75,1.73,2.08,1.62,2.2
MiOHrp54,31/05/2024,14:00,DENMARK - SUPERLIGA,FC Copenhagen,Randers FC,1.4,5.0,6.5,1.57,2.35,1.8,1.95
dx1ixMgh,31/05/2024,21:00,ECUADOR - LIGA PRO,Tecnico U.,EL Nacional,2.25,3.0,3.25,2.25,1.62,1.91,1.8
CUtdrxSp,31/05/2024,11:00,EGYPT - EGYPT CUP,Baladiyat El Mahalla,El Gouna,2.27,3.0,3.0,2.07,1.6,1.87,1.89
WED9iLm1,31/05/2024,11:00,EGYPT - EGYPT CUP,National Bank Egypt,Petrojet,2.01,3.31,3.37,2.07,1.69,1.83,1.93
jLoVUEXn,31/05/2024,14:00,ESTONIA - MEISTRILIIGA,Nomme Utd,Parnu JK Vaprus,3.25,3.3,2.0,1.78,1.87,1.67,2.15
0pv1uJ7o,31/05/2024,09:00,ETHIOPIA - PREMIER LEAGUE,Fasil Kenema,Defence Force,2.9,3.0,2.32,2.15,1.55,1.91,1.85
vyw5vwNi,31/05/2024,12:00,ETHIOPIA - PREMIER LEAGUE,Dire Dawa,St. George,3.9,3.2,1.85,2.07,1.6,1.97,1.79
0YTHm81r,31/05/2024,13:00,EUROPE - EURO WOMEN,Austria W,Iceland W,1.82,3.4,3.75,1.75,1.88,1.65,2.1
xbuxWrzt,31/05/2024,13:00,EUROPE - EURO WOMEN,Norway W,Italy W,2.15,3.15,3.05,1.82,1.82,1.65,2.1
fakuvbYG,31/05/2024,13:30,EUROPE - EURO WOMEN,Czech Republic W,Belgium W,2.9,3.4,2.12,1.6,2.05,1.5,2.4
EuU5PbJN,31/05/2024,14:00,EUROPE - EURO WOMEN,Denmark W,Spain W,16.0,4.7,1.2,1.6,2.07,2.25,1.5
AmNpej98,31/05/2024,15:30,EUROPE - EURO WOMEN,Germany W,Poland W,1.1,7.2,15.0,1.31,3.04,2.2,1.6
0IufYS1e,31/05/2024,15:30,EUROPE - EURO WOMEN,Ireland W,Sweden W,4.6,3.85,1.57,1.72,1.9,1.75,1.95
88WJFNka,31/05/2024,15:45,EUROPE - EURO WOMEN,Netherlands W,Finland W,1.24,5.1,9.25,1.55,2.15,2.2,1.6
zH5LJTn2,31/05/2024,16:00,EUROPE - EURO WOMEN,England W,France W,2.07,3.25,3.1,1.8,1.83,1.65,2.1
thwcASDJ,31/05/2024,12:00,EUROPE - EURO WOMEN,Kosovo W,Croatia W,4.1,3.3,1.78,1.93,1.7,1.91,1.8
IHQ8rJO9,31/05/2024,13:00,EUROPE - EURO WOMEN,Serbia W,Slovakia W,1.32,4.6,7.4,1.62,2.02,2.0,1.73
2oEypBrH,31/05/2024,14:00,EUROPE - EURO WOMEN,Turkey W,Azerbaijan W,1.26,5.0,8.75,1.6,2.07,2.1,1.65
vBoSnYFe,31/05/2024,14:30,EUROPE - EURO WOMEN,Malta W,Bosnia & Herzegovina W,4.05,3.55,1.72,1.75,1.88,1.73,2.0
l0ueXXbB,31/05/2024,15:00,EUROPE - EURO WOMEN,Switzerland W,Hungary W,1.21,5.4,10.25,1.52,2.22,2.1,1.65
fqgGxTzi,31/05/2024,15:05,EUROPE - EURO WOMEN,Scotland W,Israel W,1.04,8.5,30.0,1.24,3.48,2.6,1.4
CEtM8FxF,31/05/2024,15:15,EUROPE - EURO WOMEN,Wales W,Ukraine W,1.42,4.05,6.4,1.78,1.85,1.95,1.75
KpmvbbOd,31/05/2024,16:45,EUROPE - EURO WOMEN,Portugal W,Northern Ireland W,1.14,6.1,14.0,1.55,2.15,2.6,1.44
zaQb7puk,31/05/2024,10:00,EUROPE - EURO WOMEN,Armenia W,Kazakhstan W,4.85,3.95,1.53,1.65,2.0,1.65,2.1
06NA4rP7,31/05/2024,12:00,EUROPE - EURO WOMEN,Estonia W,Albania W,2.62,3.3,2.35,1.72,1.9,1.57,2.25
vyk51ICb,31/05/2024,12:00,EUROPE - EURO WOMEN,Greece W,Montenegro W,1.78,3.35,4.0,1.83,1.8,1.75,1.95
IL0d3vrn,31/05/2024,12:00,EUROPE - EURO WOMEN,North Macedonia W,Moldova W,1.36,5.0,5.8,1.57,2.12,1.85,1.85
UcLp0TXL,31/05/2024,12:45,EUROPE - EURO WOMEN,Faroe Islands W,Andorra W,1.36,4.4,6.7,1.55,2.15,1.91,1.8
EmC4WcDO,31/05/2024,13:00,EUROPE - EURO WOMEN,Cyprus W,Georgia W,2.0,3.45,3.1,1.75,1.88,1.6,2.2
8lKlammS,31/05/2024,13:00,EUROPE - EURO WOMEN,Romania W,Bulgaria W,1.28,4.8,8.5,1.62,2.02,2.25,1.57
I1xFj1bt,31/05/2024,13:00,EUROPE - EURO WOMEN,Slovenia W,Latvia W,1.03,9.5,26.0,1.18,4.15,2.88,1.36
xrJSC30A,31/05/2024,12:00,FINLAND - VEIKKAUSLIIGA,Ilves,KuPS,2.15,3.3,2.88,2.0,1.85,1.8,1.95
rLJODqo4,31/05/2024,12:00,FINLAND - VEIKKAUSLIIGA,Inter Turku,Haka,2.2,3.6,2.7,1.62,2.25,1.53,2.38
joNWBNFG,31/05/2024,12:00,FINLAND - VEIKKAUSLIIGA,SJK,Mariehamn,1.48,4.1,5.25,1.73,2.08,1.91,1.91
Y9CyBsVM,31/05/2024,14:00,FINLAND - VEIKKAUSLIIGA,AC Oulu,HJK,4.0,3.8,1.67,1.65,2.2,1.67,2.1
KIxoP2IJ,31/05/2024,12:30,FINLAND - YKKOSLIIGA,KaPa,PK-35,2.75,3.45,2.3,1.7,1.93,1.57,2.12
nqw827uk,31/05/2024,13:00,FINLAND - YKKONEN,Jazz Pori,Atlantis,2.3,3.75,2.45,1.48,2.6,1.44,2.63
QegCLJyA,31/05/2024,16:15,ICELAND - BESTA DEILD KARLA,Hafnarfjordur,Fram,1.72,3.95,4.1,1.53,2.32,1.55,2.3
EqlVLH7P,31/05/2024,15:00,ICELAND - DIVISION 1,Njardvik,Thor Akureyri,2.65,3.55,2.32,1.55,2.15,1.47,2.32
jB2z0zo6,31/05/2024,16:15,ICELAND - DIVISION 1,Grindavik,Keflavik,2.85,3.85,2.1,1.42,2.47,1.4,2.55
4E6vaf0C,31/05/2024,16:15,ICELAND - DIVISION 1,Leiknir,Afturelding,3.0,3.9,2.0,1.4,2.55,1.39,2.57
dl3W0GVa,31/05/2024,16:15,ICELAND - DIVISION 1,Throttur,IR Reykjavik,2.47,3.75,2.37,1.35,2.72,1.32,2.82
xMmkyOnH,31/05/2024,15:00,ICELAND - DIVISION 2,Selfoss,Throttur Vogar,1.55,4.3,4.35,1.62,2.2,1.59,2.29
GCngzr2N,31/05/2024,16:15,ICELAND - DIVISION 2,KFG Gardabaer,Aegir,3.25,4.2,1.78,1.26,3.34,1.3,3.38
dO3jZ1HT,31/05/2024,16:15,ICELAND - DIVISION 2,Reynir,Olafsvik,4.6,4.8,1.47,1.21,3.74,1.36,3.03
xWIYE5TN,31/05/2024,09:00,INDONESIA - LIGA 1,Madura United,Persib Bandung,2.32,3.65,2.6,1.5,2.25,1.45,2.4
QoxDa4QQ,31/05/2024,10:15,IRAQ - STARS LEAGUE,Newroz,Al Quwa Al Jawiya,4.8,3.2,1.7,2.07,1.6,2.02,1.75
WSEueOYs,31/05/2024,12:30,IRAQ - STARS LEAGUE,Al Naft,Karbala,2.27,3.0,3.0,2.15,1.55,1.95,1.81
I9SmvP0h,31/05/2024,15:45,IRELAND - PREMIER DIVISION,Drogheda,Shamrock Rovers,6.25,4.1,1.48,1.7,2.1,1.8,1.95
EeCdwbYl,31/05/2024,15:45,IRELAND - PREMIER DIVISION,Dundalk,Derry City,4.5,3.4,1.8,2.25,1.62,2.05,1.7
WCWiwqGb,31/05/2024,15:45,IRELAND - PREMIER DIVISION,Shelbourne,Sligo Rovers,1.6,3.7,5.5,2.35,1.57,2.25,1.57
EyMdx3V4,31/05/2024,15:45,IRELAND - PREMIER DIVISION,St. Patricks,Galway,2.25,3.2,3.2,2.2,1.65,1.95,1.8
hSK0yNpB,31/05/2024,15:45,IRELAND - PREMIER DIVISION,Waterford,Bohemians,2.45,3.25,2.7,2.03,1.83,1.8,1.95
EFO3rZEr,31/05/2024,15:30,ITALY - PRIMAVERA 1,Sassuolo U19,AS Roma U19,3.15,3.5,1.98,1.52,2.2,1.48,2.57
Gp4kA8xm,31/05/2024,07:00,JAPAN - J1 LEAGUE,Sagan Tosu,FC Tokyo,3.1,3.4,2.25,1.8,2.0,1.62,2.2
4UfHJs40,31/05/2024,13:00,LITHUANIA - A LYGA,Dainava Alytus,Hegelmann,3.9,3.2,1.85,2.18,1.53,2.07,1.72
t4HUjije,31/05/2024,14:30,LUXEMBOURG - BGL LIGUE,Kaerjeng,Hostert,1.78,3.65,3.65,1.42,2.57,1.44,2.7
