Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
dpwPbiGE,23/05/2024,15:30,GERMANY - BUNDESLIGA,Bochum,Dusseldorf,2.15,3.6,3.1,1.86,2.04,1.67,2.1
M7Gy1qKr,23/05/2024,15:45,ITALY - SERIE A,Cagliari,Fiorentina,4.75,3.75,1.75,1.67,2.2,1.62,2.2
n3wjt3qK,23/05/2024,13:45,NETHERLANDS - EREDIVISIE,Nijmegen,G.A. Eagles,2.05,3.6,3.5,1.73,2.08,1.67,2.1
8KYAIaiD,23/05/2024,16:00,NETHERLANDS - EREDIVISIE,Utrecht,Sparta Rotterdam,1.75,3.9,4.33,1.8,2.05,1.8,1.95
dr0qHW3C,23/05/2024,13:00,BAHRAIN - PREMIER LEAGUE,Al-Hidd,Al-Ittihad,1.8,3.55,4.1,1.78,1.98,1.7,2.02
U9DjFAYO,23/05/2024,13:00,BAHRAIN - PREMIER LEAGUE,East Riffa,Malkia,1.91,3.5,3.7,2.05,1.72,1.88,1.82
4b2RbYYa,23/05/2024,15:00,BELGIUM - SECOND AMATEUR DIVISION PLAY OFFS,Cercle Brugge KSV 2,Hasselt,2.15,3.8,2.75,1.32,2.85,1.3,2.92
0QezcC3C,23/05/2024,15:00,BELGIUM - SECOND AMATEUR DIVISION PLAY OFFS,Merelbeke,Lyra-Lierse Berlaar,1.8,4.0,3.55,1.39,2.55,1.4,2.5
xUFCwQgU,23/05/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,SA Bulo Bulo,Royal Pari,1.53,3.9,5.0,1.6,2.3,1.67,2.1
trtNcTvn,23/05/2024,19:00,BOLIVIA - DIVISION PROFESIONAL,Always Ready,Nacional Potosi,1.9,3.6,3.3,1.62,2.25,1.57,2.25
SbvVe79b,23/05/2024,21:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Guabira,1.18,6.5,9.5,1.44,2.7,2.0,1.73
hM1qUdGd,23/05/2024,13:00,BOSNIA AND HERZEGOVINA - BOSNIA AND HERZEGOVINA CUP,Borac Banja Luka,Zrinjski,2.27,3.15,2.82,1.98,1.65,1.77,2.0
YTpaTNP1,23/05/2024,19:00,BRAZIL - COPA DO BRASIL,Botafogo SP,Palmeiras,8.0,4.0,1.44,2.05,1.75,2.2,1.62
ANq5PK7T,23/05/2024,19:00,BRAZIL - COPA DO BRASIL,Criciuma,Bahia,2.88,3.2,2.45,2.3,1.6,1.95,1.8
lE4vvKMM,23/05/2024,19:30,BRAZIL - COPA DO BRASIL,Cuiaba,Goias,2.05,3.2,3.9,2.35,1.57,2.0,1.75
M1DNs2Nc,23/05/2024,21:30,BRAZIL - COPA DO BRASIL,Ceara,CRB,2.0,3.2,4.0,2.3,1.6,2.0,1.75
pIipiRH8,23/05/2024,21:30,BRAZIL - COPA DO BRASIL,Sao Paulo,Aguia De Maraba,1.08,9.5,26.0,1.53,2.4,3.4,1.3
QJwgBwHl,23/05/2024,14:15,BULGARIA - PARVA LIGA,CSKA Sofia,Cherno More,1.95,3.4,3.9,2.08,1.73,1.83,1.83
rup5RAOq,23/05/2024,09:15,BULGARIA - PARVA LIGA,Arda,Slavia Sofia,2.4,3.2,3.0,2.35,1.57,2.0,1.73
OlhDPlgd,23/05/2024,11:45,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Botev Plovdiv,1.73,3.9,4.33,1.93,1.93,1.83,1.83
80xnWqs2,23/05/2024,20:15,COLOMBIA - PRIMERA A,Deportes Tolima,La Equidad,1.7,3.5,5.25,2.2,1.65,2.1,1.67
O8KYgmZ8,23/05/2024,22:30,COLOMBIA - PRIMERA A,Santa Fe,Once Caldas,1.83,3.3,4.75,2.4,1.53,2.2,1.62
0YBDbUBF,23/05/2024,13:00,EGYPT - PREMIER LEAGUE,Zamalek,Future FC,2.07,2.9,3.75,2.15,1.55,1.85,1.75
EDkbOUGU,23/05/2024,12:00,ESTONIA - MEISTRILIIGA,Nomme Utd,Narva,2.92,3.6,2.05,1.65,2.0,1.55,2.38
0AofPA1O,23/05/2024,14:00,ESTONIA - MEISTRILIIGA,Parnu JK Vaprus,Tammeka,3.0,3.25,2.15,1.8,1.85,1.68,2.13
S43w6NBs,23/05/2024,12:30,FINLAND - YKKOSLIIGA,JIPPO,PK-35,1.88,3.35,3.85,1.87,1.83,1.7,1.91
EL1o41tf,23/05/2024,12:30,FINLAND - YKKOSLIIGA,KaPa,SJK Akatemia,3.1,3.5,2.07,1.44,2.42,1.38,2.6
zV2s5sRm,23/05/2024,12:30,FINLAND - YKKOSLIIGA,Mikkeli,Jaro,5.5,3.9,1.53,1.65,1.98,1.75,1.87
QD0yklBk,23/05/2024,12:30,FINLAND - YKKONEN,KuPS Akatemia,OLS Oulu,4.33,4.75,1.48,1.57,2.35,1.73,2.0
QJB9Qkeb,23/05/2024,10:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Samtredia,Dila Gori,8.25,4.55,1.3,1.75,1.88,2.27,1.6
WdC5RVuh,23/05/2024,12:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Iberia 1999,Kolkheti 1913,1.36,4.6,6.4,1.52,2.22,1.85,1.91
Mo5IOTPA,23/05/2024,13:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Dinamo Tbilisi,Dinamo Batumi,3.0,3.0,2.25,1.9,1.75,1.75,2.03
Q7JCpeoJ,23/05/2024,15:00,ICELAND - DIVISION 1,Fjolnir,Throttur,1.85,4.1,3.3,1.35,2.7,1.37,2.62
