Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
ljUUGKjN,28/06/2024,19:00,SOUTH AMERICA - COPA AMÉRICA,Colombia,Costa Rica,1.36,4.5,11.0,1.95,1.95,2.25,1.57
Q5YW65la,28/06/2024,22:00,SOUTH AMERICA - COPA AMÉRICA,Paraguay,Brazil,8.0,5.0,1.36,1.8,2.0,2.1,1.67
dnQpUGA4,28/06/2024,10:00,AFRICA - COSAFA CUP,Lesotho,Seychelles,1.31,4.55,9.5,1.83,1.87,2.22,1.52
I1EgSfuH,28/06/2024,13:00,AFRICA - COSAFA CUP,Angola,Namibia,2.07,2.92,3.75,2.35,1.47,2.02,1.62
0OA9jdp5,28/06/2024,06:30,AUSTRALIA - NPL NSW,Sydney FC U23,Marconi Stallions,5.3,5.0,1.42,1.27,3.1,1.4,2.5
QuPRg644,28/06/2024,07:00,AUSTRALIA - NPL SOUTH AUSTRALIA,Campbelltown City,Adelaide City,2.18,3.5,2.9,1.44,2.4,1.38,2.6
nkQNfnkb,28/06/2024,07:00,AUSTRALIA - NPL SOUTH AUSTRALIA,Para,FK Beograd,2.6,3.5,2.4,1.52,2.2,1.45,2.37
OS0hAOv9,28/06/2024,06:45,AUSTRALIA - NPL VICTORIA,Dandenong City,Moreland City,1.57,4.4,4.4,1.37,2.62,1.45,2.37
ChZu1K1e,28/06/2024,06:45,AUSTRALIA - NPL VICTORIA,Heidelberg Utd,Avondale FC,2.67,3.55,2.3,1.5,2.25,1.44,2.4
2T6asJGb,28/06/2024,07:30,AUSTRALIA - VICTORIA PREMIER LEAGUE,Preston Lions,Eastern Lions,1.53,4.35,4.75,1.47,2.35,1.57,2.12
MVM0ucoB,28/06/2024,07:30,AUSTRALIA - VICTORIA PREMIER LEAGUE,Werribee City,Bulleen,3.85,4.2,1.7,1.39,2.55,1.45,2.4
z7txq8W0,28/06/2024,13:00,BELARUS - VYSSHAYA LIGA,Slavia Mozyr,FC Gomel,2.11,3.36,3.59,2.22,1.67,1.94,1.82
48PQoAnr,28/06/2024,14:45,BELARUS - VYSSHAYA LIGA,Dynamo Brest,Vitebsk,1.8,3.72,4.39,1.95,1.86,1.85,1.91
25EbGT85,28/06/2024,20:00,CANADA - CANADIAN PREMIER LEAGUE,Atl. Ottawa,Forge,2.42,3.1,3.0,2.18,1.65,1.83,1.87
GhKbdZWA,28/06/2024,18:00,CHILE - CHILEAN CUP,San Antonio Unido,U. De Chile,9.5,4.5,1.27,1.7,2.1,2.1,1.67
WMeGfdpf,28/06/2024,21:30,CHILE - CHILEAN CUP,Cobreloa,San Marcos de Arica,1.73,3.5,4.0,1.8,2.0,1.7,2.02
E5D65DbC,28/06/2024,21:30,CHILE - CHILEAN CUP,Deportes Iquique,Antofagasta,1.62,3.5,5.0,1.62,2.25,1.57,2.27
0WWvWsXm,28/06/2024,10:00,EGYPT - PREMIER LEAGUE,Arab Contractors,National Bank Egypt,2.87,2.85,2.57,2.1,1.57,1.75,1.85
dbQmUL10,28/06/2024,13:00,EGYPT - PREMIER LEAGUE,Al Ahly,Pharco,1.26,5.1,10.0,1.53,2.18,1.98,1.65
EZzqV1nf,28/06/2024,13:00,EGYPT - PREMIER LEAGUE,Smouha,Pyramids,6.1,3.65,1.53,1.93,1.7,2.02,1.62
C8wkKOJR,28/06/2024,13:00,ESTONIA - MEISTRILIIGA,Kuressaare,Paide,5.9,4.3,1.42,1.57,2.12,1.78,1.99
n1UGFrSr,28/06/2024,13:00,ESTONIA - MEISTRILIIGA,Tammeka,Kalju,3.85,3.75,1.72,1.6,2.07,1.6,2.27
UqlpL44L,28/06/2024,14:00,ESTONIA - MEISTRILIIGA,Parnu JK Vaprus,Tallinna Kalev,2.5,3.15,2.55,1.75,1.9,1.6,2.27
ShP6ugSR,28/06/2024,14:00,FAROE ISLANDS - PREMIER LEAGUE,Toftir,HB Torshavn,10.0,5.5,1.21,1.36,2.79,1.83,1.93
U1BYzDzq,28/06/2024,14:30,FAROE ISLANDS - PREMIER LEAGUE,NSI Runavik,Klaksvik,2.95,3.9,1.93,1.37,2.75,1.37,2.98
bZjSVH6k,28/06/2024,12:00,FINLAND - VEIKKAUSLIIGA,Inter Turku,VPS,2.38,3.6,2.8,1.88,1.98,1.67,2.1
hdjWUyMe,28/06/2024,14:00,FINLAND - VEIKKAUSLIIGA,AC Oulu,KuPS,4.2,3.7,1.75,1.8,2.0,1.75,2.0
ryABRevI,28/06/2024,12:30,FINLAND - YKKOSLIIGA,JaPS,KaPa,2.1,3.65,2.92,1.47,2.35,1.42,2.47
MowhGybS,28/06/2024,13:00,GEORGIA - SUPER CUP,Iberia 1999,Dinamo Tbilisi,2.12,3.2,3.05,2.05,1.62,1.84,1.92
6JEOAFLk,28/06/2024,14:00,GEORGIA - SUPER CUP,Dinamo Batumi,Torpedo Kutaisi,2.05,3.15,3.25,2.05,1.62,1.86,1.9
U9mZqfKR,28/06/2024,15:00,ICELAND - BESTA DEILD KARLA,Kopavogur,KA Akureyri,3.75,3.9,1.8,1.44,2.62,1.44,2.62
Qgl4vYsk,28/06/2024,16:15,ICELAND - BESTA DEILD KARLA,Akranes,Valur,4.1,4.35,1.65,1.33,3.05,1.39,2.77
WIZ0uESr,28/06/2024,16:15,ICELAND - BESTA DEILD KARLA,Hafnarfjordur,Breidablik,3.0,3.65,2.12,1.5,2.42,1.44,2.62
lb6U4g7E,28/06/2024,16:15,ICELAND - DIVISION 2,Haukar,Reynir,1.36,4.8,6.0,1.38,2.73,1.6,2.27
