Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
G0WYIgM5,28/05/2024,15:00,NETHERLANDS - EREDIVISIE,NAC Breda,Excelsior,2.3,3.6,2.5,1.53,2.4,1.5,2.5
tKXIx189,28/05/2024,19:00,SOUTH AMERICA - COPA LIBERTADORES,Atletico-MG (Bra),Caracas (Ven),1.07,12.0,23.0,1.3,3.5,2.5,1.5
EBxnJFBJ,28/05/2024,19:00,SOUTH AMERICA - COPA LIBERTADORES,Junior (Col),Botafogo RJ (Bra),2.75,3.3,2.6,2.1,1.7,1.91,1.91
08l4fWYI,28/05/2024,19:00,SOUTH AMERICA - COPA LIBERTADORES,LDU Quito (Ecu),U. de Deportes (Per),1.45,4.33,7.0,1.83,2.03,2.0,1.75
YgYEwsg3,28/05/2024,19:00,SOUTH AMERICA - COPA LIBERTADORES,Penarol (Uru),Rosario Central (Arg),2.0,3.3,4.0,2.25,1.62,1.95,1.8
QkrdRC3t,28/05/2024,21:00,SOUTH AMERICA - COPA LIBERTADORES,Bolivar (Bol),Palestino (Chi),1.25,5.75,13.0,1.5,2.5,1.95,1.8
lUjUVheP,28/05/2024,21:00,SOUTH AMERICA - COPA LIBERTADORES,Flamengo RJ (Bra),Millonarios (Col),1.14,8.0,19.0,1.48,2.6,2.38,1.53
SApJl6xd,28/05/2024,07:00,AUSTRALIA - NPL NORTHERN NSW,New Lambton,Lambton J.,13.0,8.0,1.13,1.22,4.0,1.72,1.9
QXjcPpuR,28/05/2024,07:00,AUSTRALIA - QUEENSLAND PREMIER LEAGUE,Southside Eagles,Capalaba,2.4,3.9,2.4,1.29,3.0,1.28,3.05
EBGzTDjm,28/05/2024,14:00,AUSTRIA - BUNDESLIGA,Hartberg,Austria Vienna,2.7,3.6,2.4,1.67,2.15,1.57,2.25
4SVSko7n,28/05/2024,19:00,BRAZIL - SERIE B,Amazonas,Mirassol,2.9,3.1,2.5,2.4,1.53,2.0,1.73
69wll7b6,28/05/2024,11:00,EGYPT - EGYPT CUP,Ceramica Cleopatra,Makadi,1.33,4.7,6.9,1.52,2.2,1.85,1.91
KW1HkKZA,28/05/2024,14:00,EGYPT - EGYPT CUP,Smouha,La Viena,1.62,3.7,4.5,1.78,1.85,1.85,1.91
