Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
GCMMfLmA,01/05/2024,16:00,EUROPE - CHAMPIONS LEAGUE,Dortmund,PSG,2.75,3.6,2.45,1.53,2.5,1.44,2.63
8CvQH8Vl,01/05/2024,06:00,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Adelaide United,1.62,4.2,5.0,1.36,3.2,1.4,2.75
EPDFWXGA,01/05/2024,06:30,AUSTRALIA - NPL NORTHERN NSW,Cooks Hill United,New Lambton,1.6,4.2,4.0,1.5,2.5,1.52,2.22
MkHNUBoN,01/05/2024,07:00,AUSTRALIA - NPL NORTHERN NSW,Lake Macquarie,Adamstown Rosebud,5.25,4.33,1.45,1.44,2.63,1.5,2.25
KGPjwXib,01/05/2024,06:15,AUSTRALIA - NPL NSW,Sydney FC U23,St. George City,4.25,4.25,1.62,1.44,2.4,1.5,2.25
CSwMgnbl,01/05/2024,12:00,AUSTRIA - OFB CUP,Sturm Graz,SK Rapid,1.7,4.0,4.5,1.85,2.0,1.83,1.83
CSqBY5eR,01/05/2024,10:00,BELARUS - VYSSHAYA LIGA,Smorgon,Dnepr Mogilev,2.71,2.97,2.86,1.91,1.91,1.66,2.16
2iw0hD2e,01/05/2024,11:00,BELGIUM - JUPILER PRO LEAGUE,Deinze,Patro Eisden,1.91,3.6,3.8,1.75,2.05,1.67,2.1
jDJfEfPE,01/05/2024,15:00,BELGIUM - JUPILER PRO LEAGUE,Lommel SK,Waregem,2.3,3.5,2.8,1.6,2.3,1.5,2.5
j9kefUGM,01/05/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Universitario de Vinto,SA Bulo Bulo,1.62,3.75,4.75,1.9,1.9,1.78,1.82
z9yQ8jqB,01/05/2024,16:00,BRAZIL - COPA DO BRASIL,Brusque,Atletico GO,4.2,3.1,2.05,2.35,1.57,2.05,1.7
KIn9sEpC,01/05/2024,16:00,BRAZIL - COPA DO BRASIL,Sampaio Correa,Fluminense,7.5,4.33,1.44,1.83,2.03,2.0,1.75
fy1ifiUH,01/05/2024,18:00,BRAZIL - COPA DO BRASIL,Sousa,Bragantino,6.5,4.0,1.53,2.05,1.75,2.1,1.67
464IYI1s,01/05/2024,18:00,BRAZIL - COPA DO BRASIL,Ypiranga FC,Athletico-PR,7.0,3.8,1.53,1.9,1.95,1.95,1.8
Chq1qzGa,01/05/2024,19:00,BRAZIL - COPA DO BRASIL,Fortaleza,Vasco,1.75,3.75,4.5,2.2,1.65,2.05,1.7
Kf4MjINP,01/05/2024,20:00,BRAZIL - COPA DO BRASIL,America RN,Corinthians,6.5,3.6,1.6,2.25,1.62,2.2,1.62
bmE3vlY2,01/05/2024,21:30,BRAZIL - COPA DO BRASIL,Flamengo RJ,Amazonas,1.11,8.5,23.0,1.48,2.6,2.63,1.44
6Tq9CYqn,01/05/2024,21:30,BRAZIL - COPA DO BRASIL,Internacional,Juventude,1.53,4.0,6.5,2.08,1.73,2.2,1.62
hE1fPJ77,01/05/2024,10:00,BRAZIL - BRASILEIRO WOMEN,Palmeiras W,Real Brasilia W,1.17,6.11,13.5,1.48,2.4,2.1,1.65
6Hkxl3p8,01/05/2024,15:00,BRAZIL - BRASILEIRO WOMEN,Internacional W,Sao Paulo W,2.49,3.11,2.8,1.94,1.79,1.73,2.0
tzrko1UQ,01/05/2024,16:30,BRAZIL - BRASILEIRO WOMEN,Atletico-MG W,Corinthians W,31.0,11.3,1.03,1.17,4.4,2.6,1.44
ULydljI1,01/05/2024,12:45,BULGARIA - BULGARIAN CUP,Botev Plovdiv,CSKA Sofia,3.0,3.1,2.3,2.27,1.62,1.93,1.78
dGV1AbTc,01/05/2024,20:00,CANADA - CHAMPIONSHIP,Atl. Ottawa,Valour,1.72,3.68,4.38,1.91,1.8,1.85,1.91
hrPA8xbA,01/05/2024,20:00,CANADA - CHAMPIONSHIP,Forge,York Utd,1.65,3.55,4.45,1.91,1.72,1.91,1.85
MmjXWocd,01/05/2024,04:30,CHINA - SUPER LEAGUE,Changchun Yatai,Shenzhen Xinpengcheng,2.4,3.4,2.9,1.85,2.0,1.67,2.1
b5ZFeVZd,01/05/2024,07:00,CHINA - SUPER LEAGUE,Qingdao Hainiu,Shanghai Port,9.5,4.75,1.36,1.65,2.2,1.95,1.8
xdYJfkk3,01/05/2024,08:35,CHINA - SUPER LEAGUE,Chengdu Rongcheng,Wuhan Three Towns,1.62,4.0,5.5,1.7,2.1,1.75,2.0
WIXNg949,01/05/2024,09:00,CHINA - SUPER LEAGUE,Shanghai Shenhua,Cangzhou,1.2,6.5,15.0,1.5,2.5,2.1,1.67
d2vOCMwe,01/05/2024,18:00,COSTA RICA - PRIMERA DIVISION,Cartagines,Zeledon,1.55,4.0,5.5,1.73,2.08,1.83,1.83
dQrzhKy6,01/05/2024,17:00,DOMINICAN REPUBLIC - LDF,Atlantico,Delfines Del Este,2.05,3.43,3.32,1.82,1.91,1.67,2.15
zHsviviC,01/05/2024,20:00,DOMINICAN REPUBLIC - LDF,Cibao,Universidad O&M,1.72,3.5,4.15,1.93,1.7,1.84,1.92
4jnrjb6I,01/05/2024,20:00,DOMINICAN REPUBLIC - LDF,Moca,Atletico Pantoja,1.98,3.3,3.35,1.65,1.98,1.6,2.27
pK0hyRj8,01/05/2024,21:00,ECUADOR - LIGA PRO,U. Catolica,Barcelona SC,1.7,3.8,4.2,1.88,1.93,1.83,1.83
4pkpzZB0,01/05/2024,13:00,EGYPT - PREMIER LEAGUE,El Ismaily,Al Ahly,7.3,4.1,1.42,1.91,1.8,2.1,1.57
ryllZhR6,01/05/2024,13:00,EGYPT - PREMIER LEAGUE,Enppi,Pyramids,6.4,3.75,1.5,2.05,1.62,2.15,1.55
UuWA0FzM,01/05/2024,18:30,EL SALVADOR - PRIMERA DIVISION,Dragon,11 Deportivo,2.47,3.15,2.7,1.91,1.8,1.65,1.98
ncCsegbq,01/05/2024,18:30,EL SALVADOR - PRIMERA DIVISION,Fuerte San Francisco,Municipal Limeno,2.2,3.1,3.2,1.9,1.8,1.65,1.98
viwb3Hj3,01/05/2024,18:30,EL SALVADOR - PRIMERA DIVISION,Jocoro,Luis Angel Firpo,4.0,3.75,1.75,1.65,2.0,1.62,2.02
zJW61eLF,01/05/2024,18:30,EL SALVADOR - PRIMERA DIVISION,Platense Municipal,Aguila,2.45,3.25,2.7,2.1,1.57,1.88,1.72
dSX22y69,01/05/2024,18:30,EL SALVADOR - PRIMERA DIVISION,Santa Tecla,Metapan,4.15,3.65,1.75,1.85,1.85,1.78,1.83
tGZEaZkS,01/05/2024,21:00,EL SALVADOR - PRIMERA DIVISION,Alianza FC,FAS,1.6,3.75,5.1,1.93,1.7,2.0,1.65
xO04p6b8,01/05/2024,15:00,ENGLAND - WOMEN’S SUPER LEAGUE,Liverpool W,Chelsea W,6.6,4.9,1.33,1.38,2.71,1.62,2.2
QyPyUg4j,01/05/2024,08:30,ESTONIA - MEISTRILIIGA,Levadia,Paide,1.45,4.15,5.6,1.65,1.98,1.83,1.93
noQXUZlp,01/05/2024,13:00,ESTONIA - MEISTRILIIGA,Tallinna Kalev,Flora,3.85,3.85,1.7,1.57,2.1,1.61,2.25
rHZgDuLs,01/05/2024,09:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Samgurali,Dinamo Batumi,4.0,3.55,1.72,1.85,1.78,1.82,1.94
8tzLJsrE,01/05/2024,13:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Gagra,Kolkheti 1913,2.52,3.0,2.62,1.9,1.75,1.75,2.03
jwaF7htT,01/05/2024,12:00,GHANA - PREMIER LEAGUE,Hearts of Oak,Accra Lions,1.9,2.8,4.45,2.85,1.38,2.38,1.55
ShPJnwFD,01/05/2024,18:00,GUATEMALA - LIGA NACIONAL,Deportivo Mixco,Antigua,2.15,3.25,3.15,2.12,1.57,1.91,1.7
v1lJY086,01/05/2024,04:00,HONG KONG - PREMIER LEAGUE,Tai Po,Sham Shui Po,1.21,6.2,9.75,1.32,2.82,1.75,1.85
YRNAhtsk,01/05/2024,07:00,HONG KONG - PREMIER LEAGUE,Eastern AA,Kitchee,3.65,4.1,1.75,1.44,2.42,1.47,2.35
j9ysf8IF,01/05/2024,16:15,ICELAND - DIVISION 1,Grindavik,Fjolnir,2.47,3.95,2.32,1.34,2.75,1.34,2.77
6LTTo6z3,01/05/2024,11:00,ICELAND - ICELANDIC CUP WOMEN,Fjolnir W,Akranes W,2.6,4.25,2.05,1.11,5.44,1.11,5.5
nkhlFNr1,01/05/2024,10:30,IRAN - PERSIAN GULF PRO LEAGUE,Tractor,Esteghlal F.C.,3.45,2.95,2.18,2.42,1.44,2.07,1.6
K2jdD1DD,01/05/2024,11:15,IRAN - PERSIAN GULF PRO LEAGUE,Mes Rafsanjan,Gol Gohar,2.55,2.7,3.05,2.32,1.47,1.9,1.72
rVYaKIKt,01/05/2024,11:30,IRAN - PERSIAN GULF PRO LEAGUE,Zob Ahan,Nassaji Mazandaran,2.07,2.8,4.05,2.65,1.37,2.2,1.52
CAQGGzK5,01/05/2024,11:45,IRAN - PERSIAN GULF PRO LEAGUE,Aluminium Arak,Foolad,2.15,2.92,3.55,2.67,1.36,2.27,1.5
jex8Idkg,01/05/2024,11:45,IRAN - PERSIAN GULF PRO LEAGUE,Esteghlal Khuzestan,Malavan,2.75,2.82,2.7,2.65,1.37,2.15,1.55
KzUOEElI,01/05/2024,13:00,IRAN - PERSIAN GULF PRO LEAGUE,Persepolis,Sepahan,2.07,3.05,3.6,2.25,1.5,1.98,1.65
AJyNXZJJ,01/05/2024,09:30,IRAQ - STARS LEAGUE,Al Talaba,Al Naft,2.27,2.87,3.1,2.1,1.57,1.87,1.89
MguRWgZP,01/05/2024,09:30,IRAQ - STARS LEAGUE,Newroz,Naft Al-Basra,1.78,3.2,4.25,2.12,1.57,2.02,1.75
fqunWMrF,01/05/2024,16:30,IRAQ - STARS LEAGUE,Baghdad,Duhok,3.0,3.0,2.27,2.54,1.43,2.12,1.69
ptbNffVO,01/05/2024,07:30,ITALY - SERIE B,Cremonese,Pisa,1.83,3.6,4.33,1.83,2.03,1.7,2.05
IT66bxWa,01/05/2024,10:00,ITALY - SERIE B,Ascoli,Cosenza,2.4,3.1,3.2,2.6,1.48,2.1,1.67
OQ9EdG0C,01/05/2024,10:00,ITALY - SERIE B,Catanzaro,Venezia,3.1,3.4,2.25,1.7,2.1,1.57,2.25
