Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
I163zM0a,14/05/2024,16:00,ENGLAND - PREMIER LEAGUE,Tottenham,Manchester City,7.5,6.0,1.33,1.29,3.75,1.44,2.63
tA2DAXM9,14/05/2024,13:45,NETHERLANDS - EREDIVISIE,FC Emmen,Dordrecht,2.3,3.75,2.7,1.44,2.7,1.4,2.75
QwjtCPtH,14/05/2024,16:00,NETHERLANDS - EREDIVISIE,De Graafschap,Den Haag,2.2,3.6,3.0,1.53,2.4,1.5,2.5
4teedh46,14/05/2024,19:00,SOUTH AMERICA - COPA LIBERTADORES,LDU Quito (Ecu),Junior (Col),1.48,4.1,6.5,1.85,2.0,1.95,1.8
hbeSFw1d,14/05/2024,19:00,SOUTH AMERICA - COPA LIBERTADORES,Penarol (Uru),Atletico-MG (Bra),3.1,3.1,2.38,2.15,1.67,1.91,1.91
tQIAl46S,14/05/2024,19:00,SOUTH AMERICA - COPA LIBERTADORES,Talleres Cordoba (Arg),Cobresal (Chi),1.2,6.5,13.0,1.57,2.35,2.25,1.57
Uq66TdVe,14/05/2024,21:30,SOUTH AMERICA - COPA LIBERTADORES,River Plate (Arg),Libertad Asuncion (Par),1.38,5.0,7.5,1.7,2.1,2.0,1.75
nPCo79IO,14/05/2024,23:00,SOUTH AMERICA - COPA LIBERTADORES,Millonarios (Col),Palestino (Chi),1.48,4.1,7.0,2.05,1.75,2.2,1.62
jDT6jXg5,14/05/2024,14:30,SPAIN - LALIGA,Osasuna,Mallorca,2.75,3.0,2.88,3.0,1.4,2.25,1.57
nuNFlBOH,14/05/2024,16:30,SPAIN - LALIGA,Real Madrid,Alaves,1.22,7.0,12.0,1.53,2.5,2.1,1.67
I1QvmbmD,14/05/2024,17:00,SPAIN - LALIGA,Girona,Villarreal,1.67,4.33,4.2,1.36,3.2,1.4,2.75
UVvP0u3S,14/05/2024,10:00,ARMENIA - PREMIER LEAGUE,Van,West Armenia,2.65,3.2,2.4,1.75,1.88,1.7,2.1
jutL1LmM,14/05/2024,12:00,ARMENIA - PREMIER LEAGUE,BKMA,Pyunik Yerevan,9.75,5.8,1.2,1.39,2.67,2.14,1.67
