Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
lUEplQC8,02/05/2024,15:30,ENGLAND - PREMIER LEAGUE,Chelsea,Tottenham,2.25,3.8,2.9,1.33,3.4,1.3,3.4
vy7BU8Sr,02/05/2024,16:00,EUROPE - EUROPA LEAGUE,AS Roma,Bayer Leverkusen,3.5,3.6,2.05,2.03,1.87,1.8,1.95
4KRhweHU,02/05/2024,16:00,EUROPE - EUROPA LEAGUE,Marseille,Atalanta,2.5,3.5,2.75,1.89,2.01,1.7,2.05
jB0BexXb,02/05/2024,16:00,EUROPE - EUROPA CONFERENCE LEAGUE,Aston Villa,Olympiacos Piraeus,1.4,4.75,7.5,1.67,2.15,1.83,1.83
zsPqG9Dk,02/05/2024,16:00,EUROPE - EUROPA CONFERENCE LEAGUE,Fiorentina,Club Brugge KV,1.8,3.6,4.5,2.03,1.83,1.83,1.83
lzCAw2v2,02/05/2024,13:00,ALGERIA - U21 LEAGUE,Ben Aknoun U21,Kabylie U21,2.18,3.15,3.0,1.98,1.65,1.8,1.96
xdh5aq1L,02/05/2024,13:00,ALGERIA - U21 LEAGUE,Biskra U21,ES Setif U21,3.0,3.25,2.12,1.93,1.7,1.78,1.99
8vqyfNOr,02/05/2024,13:00,ALGERIA - U21 LEAGUE,Constantine U21,USM Alger U21,1.88,3.4,3.5,1.91,1.72,1.81,1.95
tUbd15W8,02/05/2024,13:00,ALGERIA - U21 LEAGUE,Oran U21,CR Belouizdad U21,8.0,5.1,1.27,1.43,2.54,1.85,1.91
QkngLeqn,02/05/2024,21:10,ARGENTINA - COPA ARGENTINA,Racing Club,Talleres (R.E),1.4,4.25,7.7,1.7,2.07,1.88,1.82
48kokr4G,02/05/2024,09:00,ARMENIA - PREMIER LEAGUE,Van,Ararat-Armenia,6.2,4.2,1.4,1.7,1.91,1.97,1.79
IBgkl2JM,02/05/2024,09:00,ARMENIA - PREMIER LEAGUE,West Armenia,Pyunik Yerevan,10.5,5.0,1.23,1.72,1.9,2.55,1.49
Ofqgr5R0,02/05/2024,12:30,ASIA - AFC ASIAN CUP U23,Iraq U23,Indonesia U23,2.18,3.15,3.2,1.93,1.7,1.72,1.88
EsR7ZotL,02/05/2024,12:15,BELARUS - VYSSHAYA LIGA,Din. Minsk,Vitebsk,1.43,4.5,7.7,1.95,1.86,2.18,1.65
hSxay8B8,02/05/2024,14:30,BELARUS - VYSSHAYA LIGA,Neman,Shakhtyor Soligorsk,1.26,5.7,12.5,1.8,2.02,2.48,1.51
8b1ZUz16,02/05/2024,19:00,BRAZIL - COPA DO BRASIL,Botafogo RJ,Vitoria,1.55,3.8,6.5,2.08,1.73,2.1,1.67
x2ijVqek,02/05/2024,19:30,BRAZIL - COPA DO BRASIL,Aguia De Maraba,Sao Paulo,6.0,3.75,1.6,2.2,1.65,2.2,1.62
feLyKbVj,02/05/2024,20:30,BRAZIL - COPA DO BRASIL,CRB,Ceara,2.0,3.3,4.0,2.35,1.57,2.0,1.75
G06WuthA,02/05/2024,21:30,BRAZIL - COPA DO BRASIL,Goias,Cuiaba,2.1,3.2,3.8,2.5,1.5,2.1,1.67
p4CBxS2F,02/05/2024,21:30,BRAZIL - COPA DO BRASIL,Palmeiras,Botafogo SP,1.22,6.0,13.0,1.65,2.2,2.25,1.57
fsOPva7f,02/05/2024,15:00,BRAZIL - BRASILEIRO WOMEN,America Mineiro W,Bragantino W,2.12,3.1,3.15,1.62,2.05,1.5,2.4
CIYKuuhl,02/05/2024,15:00,BRAZIL - BRASILEIRO WOMEN,Flamengo W,Botafogo RJ W,1.4,4.15,6.5,1.62,2.02,1.85,1.85
YRZGtLxr,02/05/2024,21:00,BRAZIL - BRASILEIRO WOMEN,Santos W,Fluminense W,1.95,3.3,3.4,1.75,1.88,1.65,2.1
pUJrCgA8,02/05/2024,12:45,BULGARIA - BULGARIAN CUP,Hebar,Ludogorets,7.9,5.1,1.31,1.53,2.27,1.91,1.8
Q9KWtZ3M,02/05/2024,13:00,DENMARK - 1ST DIVISION,Sonderjyske,Fredericia,1.5,4.75,5.5,1.48,2.6,1.62,2.2
v3scXWeJ,02/05/2024,13:00,EGYPT - PREMIER LEAGUE,Future FC,El Gaish,2.85,2.7,2.72,2.75,1.34,2.18,1.53
QawgYCtD,02/05/2024,13:00,EGYPT - PREMIER LEAGUE,Zamalek,National Bank Egypt,1.57,3.65,5.5,1.85,1.85,1.82,1.78
zgwE5eZ1,02/05/2024,15:00,ENGLAND - PREMIER LEAGUE CUP,Tottenham U21,Nottingham U21,1.34,5.5,5.68,1.25,3.75,1.36,2.88
vF9pELik,02/05/2024,09:00,ETHIOPIA - PREMIER LEAGUE,Adama City,Shashemene Kenema,1.88,3.1,3.95,2.54,1.47,2.3,1.59
I58lDu7e,02/05/2024,12:00,ETHIOPIA - PREMIER LEAGUE,Bahir Dar Kenema,Dire Dawa,2.25,2.8,3.25,2.67,1.39,2.21,1.63
t8mSHLCQ,02/05/2024,08:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Samtredia,Iberia 1999,4.85,3.9,1.55,1.57,2.12,1.66,2.16
nXYOI1cK,02/05/2024,13:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Telavi,Dila Gori,4.05,3.35,1.78,2.0,1.65,1.94,1.82
QuPbCazl,02/05/2024,14:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Torpedo Kutaisi,Dinamo Tbilisi,2.0,3.25,3.35,1.75,1.88,1.66,2.16
27FU4KUs,02/05/2024,23:00,GUATEMALA - LIGA NACIONAL,Comunicaciones,Municipal,1.91,3.15,4.0,2.2,1.52,1.98,1.65
AgWRl8vp,02/05/2024,22:00,HONDURAS - LIGA NACIONAL,Genesis,Olancho,2.52,2.8,2.8,2.67,1.39,2.19,1.64
CSDYrTiO,02/05/2024,15:00,ICELAND - BESTA DEILD WOMEN,Thor/KA W,Throttur W,1.7,3.9,3.75,1.52,2.2,1.5,2.4
vFFQpkNB,02/05/2024,15:00,ICELAND - BESTA DEILD WOMEN,Valur W,Vikingur Reykjavik W,1.22,5.5,9.5,1.2,3.88,1.65,2.1
I5EUq9xI,02/05/2024,16:15,ICELAND - BESTA DEILD WOMEN,Fylkir W,Keflavik W,1.88,3.7,3.25,1.53,2.2,1.45,2.55
6RGcRXdm,02/05/2024,11:00,IRAQ - STARS LEAGUE,Al Kahraba,Al Najaf,2.52,3.0,2.62,2.2,1.53,1.93,1.83
0rLWW4hc,02/05/2024,13:00,ISRAEL - LEUMIT LEAGUE,M. Herzliya,Ramat Hasharon,2.55,3.4,2.47,1.7,1.91,1.57,2.1
ze4ABqKh,02/05/2024,00:00,JAPAN - WE LEAGUE WOMEN,Inac Kobe Leonesa W,Saitama W,1.38,4.05,7.1,1.93,1.7,2.2,1.6
SU02D5kt,02/05/2024,01:00,JAPAN - WE LEAGUE WOMEN,JEF United W,Nojima Stella W,1.83,3.2,4.0,2.22,1.52,2.1,1.65
Mi06CP4n,02/05/2024,05:00,JAPAN - WE LEAGUE WOMEN,Beleza W,Albirex Niigata W,1.35,4.15,8.0,1.85,1.78,2.25,1.57
fHvyqU0K,02/05/2024,12:00,JORDAN - PREMIER LEAGUE,Al Jalil,Al-Faisaly Amman,10.75,5.0,1.26,1.82,1.88,2.45,1.42
E1L7w8Os,02/05/2024,14:45,JORDAN - PREMIER LEAGUE,Al Wehdat,Al Salt,1.32,4.6,8.75,1.87,1.83,2.45,1.42
tdkQxo3D,02/05/2024,11:35,KUWAIT - PREMIER LEAGUE,Al Salmiya,Al-Fahaheel,2.22,3.35,3.0,1.65,2.15,1.53,2.32
tle11UuE,02/05/2024,14:20,KUWAIT - PREMIER LEAGUE,Al Arabi,Al Kuwait,2.18,3.75,2.8,1.62,2.22,1.55,2.3
lz8WDTaf,02/05/2024,12:00,LATVIA - VIRSLIGA,Tukums 2000,FK Liepaja,2.32,3.25,2.7,1.78,1.85,1.67,2.15
WbcyDmF0,02/05/2024,13:00,LATVIA - VIRSLIGA,Riga FC,Grobina,1.15,6.5,11.5,1.52,2.2,1.97,1.79
dl3tWHhU,02/05/2024,12:00,LITHUANIA - A LYGA,Dziugas Telsiai,Dainava Alytus,2.32,2.67,3.25,2.93,1.33,2.35,1.56
Ic4xXcwO,02/05/2024,12:00,LITHUANIA - A LYGA,Transinvest,Kauno Zalgiris,4.4,3.45,1.7,1.93,1.72,1.87,1.89
MBUni1Ou,02/05/2024,13:00,LITHUANIA - A LYGA,FK Panevezys,Suduva,2.1,2.87,3.5,2.27,1.5,2.14,1.67
OUHegR46,02/05/2024,13:30,MALI - PREMIERE DIVISION,Djoliba,Real Bamako,1.95,2.9,3.95,2.88,1.34,2.42,1.53
pp64i5ZI,02/05/2024,15:30,MALI - PREMIERE DIVISION,Binga,Bakaridjan,2.77,2.85,2.52,2.88,1.34,2.28,1.6
h6qFsmgt,02/05/2024,13:00,MALTA - PREMIER LEAGUE,Sliema,Sirens,1.3,4.75,9.0,1.78,1.93,2.2,1.52
Ys2eEdho,02/05/2024,22:00,MEXICO - LIGA MX,Necaxa,Queretaro,2.15,3.25,3.4,1.8,2.0,1.67,2.1
KxRREVXg,02/05/2024,20:30,MEXICO - LIGA DE EXPANSION MX,Tapatio,Atlante,3.1,3.05,2.27,2.25,1.5,1.93,1.7
S8DrBmXI,02/05/2024,22:30,MEXICO - LIGA DE EXPANSION MX,Atletico La Paz,Leones Negros,2.52,3.15,2.67,1.98,1.65,1.75,1.85
vmV3V1Y8,02/05/2024,16:00,MOROCCO - COUPE DU TRONE,Berkane,FAR Rabat,3.05,2.9,2.27,2.45,1.5,2.02,1.75
t2rzaL9k,02/05/2024,18:00,PANAMA - LPF,Alianza,Miguelito,1.79,3.39,4.43,2.17,1.63,2.0,1.77
pIs54snS,02/05/2024,18:00,PANAMA - LPF,Plaza Amador,Arabe Unido,1.6,3.6,5.4,1.93,1.7,1.98,1.65
2BqWa1fq,02/05/2024,18:00,PANAMA - LPF,Tauro,Potros del Este,1.9,3.35,3.8,1.98,1.65,1.83,1.78
OQXvbuPe,02/05/2024,22:00,PANAMA - LPF,Independiente,Herrera,1.82,3.55,3.9,1.65,1.98,1.6,2.05
jXPQLrH2,02/05/2024,22:00,PANAMA - LPF,UMECIT,Deportivo Universitario,1.98,3.25,3.65,2.25,1.5,2.02,1.62
xUyqcav2,02/05/2024,22:00,PANAMA - LPF,Veraguas,San Francisco,3.8,3.3,1.91,1.78,1.93,1.6,2.05
6RlsCgEN,02/05/2024,11:00,POLAND - POLISH CUP,Pogon Szczecin,Wisla,1.75,3.75,4.25,1.65,2.22,1.6,2.2
MVrCBWlB,02/05/2024,06:00,POLAND - CENTRAL YOUTH LEAGUE,Gornik Zabrze U19,Lech Poznan U19,1.95,3.7,3.05,1.44,2.51,1.45,2.66
bZ2rdikO,02/05/2024,06:00,POLAND - CENTRAL YOUTH LEAGUE,Jagiellonia U19,Arka Gdynia U19,2.05,3.65,2.9,1.36,2.79,1.33,3.04
zFt0EY4h,02/05/2024,06:00,POLAND - CENTRAL YOUTH LEAGUE,Legia U19,Polonia W. U19,1.62,3.9,4.2,1.39,2.67,1.44,2.69
KG3WSTY7,02/05/2024,11:00,ROMANIA - LIGA 2,Mioveni,Csikszereda M. Ciuc,2.95,2.95,2.5,2.42,1.5,2.05,1.7
SAUqNH0S,02/05/2024,13:15,RUSSIA - RUSSIAN CUP,CSKA Moscow,Zenit,3.12,3.28,2.41,2.3,1.65,1.95,1.81
6wm5SCx8,02/05/2024,13:15,RUSSIA - RUSSIAN CUP,FK Rostov,Baltika,2.04,3.58,3.61,1.97,1.87,1.79,1.98
2s8aTE0s,02/05/2024,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hazem,Al Akhdoud,2.4,3.4,2.6,1.75,2.05,1.62,2.2
0YLXXfhQ,02/05/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ahli SC,Damac,1.4,4.33,6.5,1.73,2.08,1.91,1.8
WbHTYzwK,02/05/2024,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Fateh,Al Riyadh,1.83,4.0,3.6,1.7,2.1,1.67,2.1
YViDhimT,02/05/2024,14:00,SAUDI ARABIA - DIVISION 1,Al Safa,Jeddah,2.02,3.35,3.35,1.82,1.9,1.65,2.0
IHGSsOTQ,02/05/2024,11:00,SERBIA - SUPER LIGA,Radnicki 1923,Mladost,1.6,3.8,5.3,1.72,2.05,1.72,2.0
YsMcx2il,02/05/2024,11:55,SERBIA - SUPER LIGA,Partizan,Vojvodina,2.0,3.5,3.4,1.62,2.2,1.53,2.35
fcA6ztM0,02/05/2024,13:30,SERBIA - SUPER LIGA,Cukaricki,Napredak,1.21,5.7,12.5,1.62,2.2,2.35,1.53
MkNJqpaE,02/05/2024,14:00,SERBIA - SUPER LIGA,Crvena zvezda,TSC,1.32,5.1,8.0,1.57,2.27,1.93,1.78
xO2Yg0cn,02/05/2024,13:00,SERBIA - PRVA LIGA,Dubocica,Mladost GAT,2.65,3.1,2.45,2.22,1.52,2.19,1.64
02mbldRN,02/05/2024,13:00,SERBIA - PRVA LIGA,Metalac,Sloboda,1.78,3.05,4.6,2.54,1.43,2.3,1.59
Qszkv53p,02/05/2024,11:00,SEYCHELLES - PREMIER LEAGUE,Northern Dynamo,Bazar Brothers,2.87,3.7,2.02,1.44,2.51,1.41,2.81
WYNPcNSr,02/05/2024,14:30,SOUTH AFRICA - PREMIER LEAGUE,Kaizer Chiefs,Mamelodi Sundowns,3.9,3.05,2.02,2.32,1.57,2.0,1.72
2mN6yctB,02/05/2024,19:00,TRINIDAD AND TOBAGO - TT PREMIER LEAGUE,Eagles FC,Defence Force,4.9,4.1,1.5,1.57,2.12,1.65,2.05
veVT5aiJ,02/05/2024,21:10,TRINIDAD AND TOBAGO - TT PREMIER LEAGUE,Prison Service,Port Of Spain,12.0,6.1,1.16,1.44,2.63,1.95,1.75
MXFXqCwC,02/05/2024,10:00,TURKEY - TFF 3. LIG PLAY OFFS,Ayvalikgucu,Edirnespor,1.74,3.37,4.74,2.12,1.66,1.97,1.79
M9XpgGGP,02/05/2024,10:00,TURKEY - TFF 3. LIG PLAY OFFS,Silivrispor,Kutahyaspor,1.97,3.17,3.89,2.21,1.61,1.95,1.81
SpoYsj8O,02/05/2024,10:00,TURKEY - TFF 3. LIG PLAY OFFS,Turgutluspor,Efeler 09,2.29,3.08,3.12,2.02,1.73,1.76,2.01
I9Qs2ggt,02/05/2024,14:00,TURKEY - TFF 3. LIG PLAY OFFS,52 Orduspor,Inegol Kafkas,2.08,3.23,3.45,1.95,1.76,1.75,2.03
vo80o4cJ,02/05/2024,14:00,TURKEY - TFF 3. LIG PLAY OFFS,Bornova 1877,Kusadasispor,2.2,2.99,3.42,2.21,1.61,1.9,1.86
Ym5hmQS6,02/05/2024,14:00,TURKEY - TFF 3. LIG PLAY OFFS,Karsiyaka,Anadolu Universitesi,1.64,3.62,5.09,2.12,1.66,1.98,1.79
