Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
jXP8f29S,19/05/2024,12:00,ENGLAND - PREMIER LEAGUE,Arsenal,Everton,1.14,9.0,13.0,1.36,3.2,2.1,1.67
htCzjMHq,19/05/2024,12:00,ENGLAND - PREMIER LEAGUE,Brentford,Newcastle,2.9,3.9,2.2,1.4,3.0,1.36,3.0
z51uktXk,19/05/2024,12:00,ENGLAND - PREMIER LEAGUE,Brighton,Manchester Utd,2.2,4.0,2.88,1.33,3.4,1.33,3.25
nu5ql0nd,19/05/2024,12:00,ENGLAND - PREMIER LEAGUE,Burnley,Nottingham,2.8,3.7,2.35,1.53,2.5,1.44,2.63
0rgRCqPd,19/05/2024,12:00,ENGLAND - PREMIER LEAGUE,Chelsea,Bournemouth,1.45,5.0,5.75,1.25,4.0,1.36,3.0
vZiVB3v3,19/05/2024,12:00,ENGLAND - PREMIER LEAGUE,Crystal Palace,Aston Villa,1.8,4.33,3.7,1.36,3.2,1.4,2.75
dAnzBNg9,19/05/2024,12:00,ENGLAND - PREMIER LEAGUE,Liverpool,Wolves,1.14,8.5,17.0,1.2,4.5,1.62,2.2
z1ovAs9F,19/05/2024,12:00,ENGLAND - PREMIER LEAGUE,Luton,Fulham,2.9,4.0,2.15,1.44,2.75,1.4,2.75
Sd97hFwr,19/05/2024,12:00,ENGLAND - PREMIER LEAGUE,Manchester City,West Ham,1.08,13.0,19.0,1.17,5.0,1.8,1.95
t0DBiZhl,19/05/2024,12:00,ENGLAND - PREMIER LEAGUE,Sheffield Utd,Tottenham,8.0,6.25,1.3,1.25,4.0,1.5,2.5
88K4TzrO,19/05/2024,16:00,FRANCE - LIGUE 1,Le Havre,Marseille,4.5,3.6,1.8,1.85,2.05,1.7,2.05
2ek4VdDB,19/05/2024,16:00,FRANCE - LIGUE 1,Lens,Montpellier,1.4,5.0,7.0,1.44,2.75,1.67,2.1
naJ8SfcU,19/05/2024,16:00,FRANCE - LIGUE 1,Lille,Nice,1.6,4.1,5.5,1.73,2.1,1.8,1.95
8Yk0Wxb5,19/05/2024,16:00,FRANCE - LIGUE 1,Lorient,Clermont,1.65,4.1,5.0,1.53,2.5,1.53,2.38
xObInbrn,19/05/2024,16:00,FRANCE - LIGUE 1,Lyon,Strasbourg,1.42,4.75,7.5,1.4,3.0,1.57,2.25
OKfEmvTu,19/05/2024,16:00,FRANCE - LIGUE 1,Metz,PSG,5.75,4.1,1.57,1.44,2.75,1.5,2.5
tnl8UGSH,19/05/2024,16:00,FRANCE - LIGUE 1,Monaco,Nantes,1.38,5.25,7.0,1.4,3.0,1.62,2.2
fVodXIra,19/05/2024,16:00,FRANCE - LIGUE 1,Reims,Rennes,2.88,3.3,2.5,1.57,2.38,1.44,2.63
C6diYbTh,19/05/2024,16:00,FRANCE - LIGUE 1,Toulouse,Brest,3.8,3.7,1.95,1.62,2.3,1.57,2.25
IaF6mQkq,19/05/2024,07:30,ITALY - SERIE A,Sassuolo,Cagliari,2.35,3.3,3.1,1.8,2.0,1.62,2.2
4hZVgSCF,19/05/2024,10:00,ITALY - SERIE A,Monza,Frosinone,3.0,3.4,2.3,1.73,2.1,1.57,2.25
vF3Fo4Ke,19/05/2024,10:00,ITALY - SERIE A,Udinese,Empoli,1.91,3.4,4.33,2.3,1.62,2.0,1.75
beWNelr3,19/05/2024,13:00,ITALY - SERIE A,Inter,Lazio,1.65,4.2,4.75,1.73,2.1,1.75,2.0
nHOzgnSL,19/05/2024,15:45,ITALY - SERIE A,AS Roma,Genoa,1.48,4.1,7.5,1.84,2.06,1.95,1.8
vB9gh4Dm,19/05/2024,09:30,NETHERLANDS - EREDIVISIE,Almere City,Nijmegen,2.8,3.5,2.45,1.67,2.15,1.57,2.25
dnKlgpbs,19/05/2024,09:30,NETHERLANDS - EREDIVISIE,AZ Alkmaar,Utrecht,1.42,4.75,7.0,1.53,2.4,1.75,2.0
MgTMcQkQ,19/05/2024,09:30,NETHERLANDS - EREDIVISIE,FC Volendam,G.A. Eagles,5.5,4.5,1.53,1.36,3.1,1.44,2.63
SWTIb6zK,19/05/2024,09:30,NETHERLANDS - EREDIVISIE,Feyenoord,Excelsior,1.25,7.0,9.0,1.22,4.2,1.53,2.38
ltVEanLD,19/05/2024,09:30,NETHERLANDS - EREDIVISIE,Heracles,Sittard,2.45,3.6,2.7,1.53,2.4,1.5,2.5
W40Uiz27,19/05/2024,09:30,NETHERLANDS - EREDIVISIE,PSV,Waalwijk,1.18,7.0,12.0,1.18,4.5,1.53,2.38
xr1QhGn1,19/05/2024,09:30,NETHERLANDS - EREDIVISIE,Sparta Rotterdam,Heerenveen,1.9,3.8,3.75,1.48,2.6,1.44,2.63
OvcMgdXf,19/05/2024,09:30,NETHERLANDS - EREDIVISIE,Vitesse,Ajax,5.0,4.5,1.57,1.33,3.4,1.4,2.75
AeaYjfHD,19/05/2024,09:30,NETHERLANDS - EREDIVISIE,Zwolle,Twente,10.0,6.0,1.27,1.4,2.88,1.75,2.0
t2MJmVwO,19/05/2024,14:00,SPAIN - LALIGA,Ath Bilbao,Sevilla,1.62,4.0,5.0,1.86,2.04,1.8,1.95
vmuNnkgU,19/05/2024,14:00,SPAIN - LALIGA,Atl. Madrid,Osasuna,1.36,4.75,8.5,1.67,2.2,1.95,1.8
4A6T7YOu,19/05/2024,14:00,SPAIN - LALIGA,Barcelona,Rayo Vallecano,1.27,5.75,11.0,1.5,2.63,1.91,1.91
r15X6hvn,19/05/2024,14:00,SPAIN - LALIGA,Betis,Real Sociedad,2.75,3.1,2.75,2.38,1.57,1.95,1.8
CzAy6Cgh,19/05/2024,14:00,SPAIN - LALIGA,Cadiz CF,Las Palmas,1.75,3.5,5.0,2.3,1.62,2.1,1.67
ng2l3AwB,19/05/2024,14:00,SPAIN - LALIGA,Granada CF,Celta Vigo,3.9,3.6,1.91,1.8,2.0,1.67,2.1
Ykbp4jO4,19/05/2024,14:00,SPAIN - LALIGA,Mallorca,Almeria,1.42,4.5,8.0,2.05,1.85,2.2,1.62
tG1h2UhH,19/05/2024,14:00,SPAIN - LALIGA,Valencia,Girona,3.1,3.5,2.2,1.73,2.1,1.62,2.2
K60d1l8N,19/05/2024,14:00,SPAIN - LALIGA,Villarreal,Real Madrid,3.3,3.75,2.05,1.44,2.75,1.4,2.75
dUIrj6Hb,19/05/2024,14:00,AFRICA - CAF CONFEDERATION CUP,Zamalek,Berkane,1.73,3.3,4.75,2.3,1.6,2.2,1.62
h8n2z3pg,19/05/2024,15:00,ARGENTINA - LIGA PROFESIONAL,Barracas Central,Sarmiento Junin,2.05,3.2,3.8,2.88,1.4,2.25,1.57
SMrvWmg7,19/05/2024,15:30,ARGENTINA - LIGA PROFESIONAL,Platense,Independiente,3.25,2.88,2.5,3.1,1.36,2.5,1.5
WhbgxPFt,19/05/2024,17:45,ARGENTINA - LIGA PROFESIONAL,Banfield,Huracan,2.63,2.88,3.0,3.1,1.36,2.25,1.57
00CsXTw1,19/05/2024,17:45,ARGENTINA - LIGA PROFESIONAL,Talleres Cordoba,Atl. Tucuman,1.8,3.5,4.75,2.25,1.62,2.05,1.7
M9DwY9Of,19/05/2024,20:00,ARGENTINA - LIGA PROFESIONAL,Central Cordoba,Boca Juniors,4.5,3.2,1.91,2.5,1.5,2.2,1.62
bV6ijNWO,19/05/2024,13:45,ARGENTINA - PRIMERA NACIONAL,Atletico Atlanta,Atl. Rafaela,2.0,3.4,3.75,2.6,1.48,2.38,1.53
4rIOd7ms,19/05/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Arsenal Sarandi,Tristan Suarez,2.1,3.2,3.7,2.88,1.4,2.38,1.53
As0jFF38,19/05/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Guillermo Brown,Agropecuario,3.2,3.0,2.4,2.7,1.44,2.2,1.62
A9zA84ng,19/05/2024,15:30,ARGENTINA - PRIMERA NACIONAL,Aldosivi,Almagro,1.75,3.6,4.5,2.35,1.57,2.25,1.57
xdGWfoIg,19/05/2024,15:30,ARGENTINA - PRIMERA NACIONAL,Chacarita Juniors,Racing Cordoba,2.0,3.1,4.2,2.7,1.44,2.38,1.53
Kv8mi3HI,19/05/2024,15:30,ARGENTINA - PRIMERA NACIONAL,Defensores Unidos,Deportivo Madryn,2.55,2.9,3.0,3.1,1.36,2.38,1.53
0bTM52WB,19/05/2024,15:30,ARGENTINA - PRIMERA NACIONAL,Gimnasia Mendoza,Deportivo Moron,2.05,3.0,4.2,2.5,1.5,2.1,1.67
xdx2AQHt,19/05/2024,15:45,ARGENTINA - PRIMERA NACIONAL,Colon Santa Fe,Chaco For Ever,1.48,4.1,7.0,2.3,1.6,2.63,1.44
lYbfEZIE,19/05/2024,16:00,ARGENTINA - PRIMERA NACIONAL,San Martin S.J.,All Boys,1.67,3.6,5.25,2.7,1.44,2.63,1.44
WIy69pXn,19/05/2024,18:00,ARGENTINA - PRIMERA NACIONAL,Estudiantes Rio Cuarto,Def. de Belgrano,2.2,2.88,3.9,2.88,1.4,2.38,1.53
Kd1AMOGB,19/05/2024,11:00,ARGENTINA - TORNEO FEDERAL,Biblioteca Atenas,Ferro Gen. Pico,2.05,2.95,3.75,2.45,1.42,2.1,1.57
6aGW9WEF,19/05/2024,15:00,ARGENTINA - TORNEO FEDERAL,Circulo Deportivo,Germinal,2.6,3.15,2.57,2.2,1.53,1.93,1.7
WtOJCYUd,19/05/2024,15:00,ARGENTINA - TORNEO FEDERAL,Olimpo Bahia Blanca,Sansinena,1.65,3.5,5.0,2.2,1.53,2.15,1.55
EPFz9jUL,19/05/2024,15:00,ARGENTINA - TORNEO FEDERAL,Santamarina,Villa Mitre,2.8,2.8,2.67,2.55,1.39,2.07,1.6
fR7XKuGm,19/05/2024,15:30,ARGENTINA - TORNEO FEDERAL,Crucero del Norte,Juventud Antoniana,1.87,3.05,4.45,2.35,1.47,2.1,1.57
p4nANJJe,19/05/2024,15:30,ARGENTINA - TORNEO FEDERAL,Def. Pronunciamiento,Independiente Chivilcoy,2.45,3.05,2.82,2.42,1.44,2.07,1.6
b7jEMwZ1,19/05/2024,15:30,ARGENTINA - TORNEO FEDERAL,El Linqueno,Gimnasia E.R.,1.39,3.9,8.75,2.18,1.53,2.55,1.4
C648Q1hQ,19/05/2024,15:30,ARGENTINA - TORNEO FEDERAL,Union Sunchales,San Martin Formosa,2.8,2.95,2.55,2.32,1.47,1.98,1.65
2uc5Oa4k,19/05/2024,16:00,ARGENTINA - TORNEO FEDERAL,9 de Julio Rafaela,Douglas Haig,2.8,2.67,2.8,2.75,1.34,2.18,1.53
6D3MJM0U,19/05/2024,16:00,ARGENTINA - TORNEO FEDERAL,Argentino MM,Juventud U.U.,2.02,3.05,3.75,2.32,1.47,2.05,1.6
Iq54RswK,19/05/2024,16:00,ARGENTINA - TORNEO FEDERAL,Boca Unidos,Sarmiento de La Banda,3.5,3.05,2.1,2.32,1.47,2.02,1.62
ppSNBhp3,19/05/2024,16:00,ARGENTINA - TORNEO FEDERAL,Cipolletti,Kimberley,2.67,2.9,2.7,2.7,1.35,2.25,1.5
hAaIK2oO,19/05/2024,16:00,ARGENTINA - TORNEO FEDERAL,Gutierrez Mendoza,Ciudad Bolivar,2.8,2.95,2.55,2.42,1.44,2.05,1.62
EFjzML0s,19/05/2024,16:00,ARGENTINA - TORNEO FEDERAL,Sol de America,Sarmiento Resistencia,2.25,2.77,3.55,2.42,1.44,2.0,1.65
bm0ELrWH,19/05/2024,16:00,ARGENTINA - TORNEO FEDERAL,Sportivo Estudiantes,Huracan Las Heras,2.55,2.82,2.92,2.42,1.44,2.0,1.65
Olb1Pukq,19/05/2024,16:00,ARGENTINA - TORNEO FEDERAL,Sportivo Las Parejas,Sportivo Belgrano,2.35,2.8,3.25,2.35,1.47,1.93,1.7
YczeeJQk,19/05/2024,10:00,ARMENIA - PREMIER LEAGUE,West Armenia,BKMA,1.65,3.55,4.6,1.72,1.9,1.75,2.03
zwaEcNuG,19/05/2024,02:00,AUSTRALIA - NPL ACT,Canberra Croatia,Monaro Panthers,2.15,3.75,2.8,1.37,2.65,1.34,2.75
ETcIdseM,19/05/2024,02:00,AUSTRALIA - NPL ACT,Tuggeranong Utd,Yoogali,1.47,4.7,5.1,1.31,2.9,1.42,2.45
OKGJlRgg,19/05/2024,01:30,AUSTRALIA - NPL NORTHERN NSW,New Lambton,Charlestown Azzurri,9.5,5.5,1.25,1.36,3.0,1.55,2.15
tdREk7vm,19/05/2024,01:30,AUSTRALIA - NPL NORTHERN NSW,Newcastle Olympic,Cooks Hill United,1.9,3.7,3.25,1.5,2.5,1.42,2.47
25SAjmPt,19/05/2024,01:30,AUSTRALIA - NPL NORTHERN NSW,Weston Workers,Edgeworth E.,2.1,3.7,2.75,1.53,2.38,1.44,2.42
KfbZAXl5,19/05/2024,02:00,AUSTRALIA - NPL QUEENSLAND,Sunshine Coast Wanderers,Brisbane Roar U23,2.3,3.95,2.5,1.4,2.52,1.39,2.55
lU2wAi4B,19/05/2024,03:30,AUSTRALIA - NPL QUEENSLAND,Moreton City Excelsior,Rochedale,1.42,4.85,5.5,1.34,2.75,1.5,2.27
U7QMVy6g,19/05/2024,03:00,AUSTRALIA - NPL VICTORIA,Heidelberg Utd,Altona Magic,1.34,5.1,6.8,1.35,2.7,1.57,2.12
jkgOwpfK,19/05/2024,03:45,AUSTRALIA - QUEENSLAND PREMIER LEAGUE,St. George Willawong,Brisbane Strikers,2.32,3.65,2.6,1.31,2.9,1.28,3.05
zNUfYNHs,19/05/2024,05:00,AUSTRALIA - QUEENSLAND PREMIER LEAGUE,Logan Lightning,Mitchelton,1.21,6.5,9.0,1.23,3.35,1.53,2.18
nL6wrykJ,19/05/2024,02:00,AUSTRALIA - VICTORIA PREMIER LEAGUE,Melbourne Victory U21,Northcote City,1.9,4.1,3.15,1.38,2.6,1.39,2.55
ddHTePaI,19/05/2024,12:00,AUSTRIA - BUNDESLIGA,Salzburg,LASK,1.48,4.5,6.0,1.53,2.3,1.7,2.05
nPSv3t7o,19/05/2024,12:00,AUSTRIA - BUNDESLIGA,SK Rapid,Hartberg,1.73,4.0,4.2,1.53,2.3,1.62,2.2
YLvcvcUp,19/05/2024,12:00,AUSTRIA - BUNDESLIGA,Sturm Graz,A. Klagenfurt,1.3,5.75,8.0,1.46,2.45,1.91,1.91
