Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
6exBKToJ,30/05/2024,15:30,FRANCE - LIGUE 1,St Etienne,Metz,2.1,3.25,3.6,2.15,1.67,1.83,1.83
IJyvxUHb,30/05/2024,19:00,SOUTH AMERICA - COPA LIBERTADORES,Ind. del Valle (Ecu),Liverpool M. (Uru),1.25,6.25,12.0,1.6,2.3,2.2,1.62
KYIzwA2h,30/05/2024,19:00,SOUTH AMERICA - COPA LIBERTADORES,Palmeiras (Bra),San Lorenzo (Arg),1.5,4.1,6.5,2.2,1.65,2.38,1.53
YDddjKx9,30/05/2024,21:00,SOUTH AMERICA - COPA LIBERTADORES,Libertad Asuncion (Par),Nacional (Uru),2.2,3.4,3.3,1.93,1.93,1.75,2.0
Mwghi0N2,30/05/2024,21:00,SOUTH AMERICA - COPA LIBERTADORES,River Plate (Arg),Dep. Tachira (Ven),1.11,11.0,17.0,1.36,3.1,2.5,1.5
xhEQK7je,30/05/2024,12:00,ALGERIA - LIGUE 1,USM Alger,Ben Aknoun,1.91,3.25,3.85,1.93,1.78,1.72,1.88
AwCq1hbU,30/05/2024,15:30,ARGENTINA - COPA ARGENTINA,Ind. Rivadavia,Banfield,3.35,2.95,2.32,2.55,1.5,2.1,1.65
bHXqPw1E,30/05/2024,06:45,AUSTRALIA - SA STATE LEAGUE,West Torrens,Adelaide Victory,1.65,4.2,4.1,1.45,2.37,1.5,2.25
UTNywt4A,30/05/2024,13:00,BELARUS - VYSSHAYA LIGA,FC Minsk,Shakhtyor Soligorsk,2.53,3.5,2.68,1.86,1.95,1.67,2.15
UkXVQnAO,30/05/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Santa Cruz,GV San Jose,2.7,3.1,2.38,1.8,2.0,1.83,1.83
EVpgX4bD,30/05/2024,13:00,BULGARIA - PARVA LIGA,Botev Vratsa,Marek,1.32,4.75,8.25,1.65,2.0,1.93,1.7
OzTnVJH5,30/05/2024,13:00,CZECH REPUBLIC - FORTUNA:LIGA,Ceske Budejovice,Taborsko,1.57,4.0,5.0,1.75,2.05,1.8,1.91
hGK3RyHU,30/05/2024,13:00,CZECH REPUBLIC - FORTUNA:LIGA,Vyskov,Karvina,3.3,3.4,2.0,1.85,1.95,1.73,2.0
8Qq2CoJk,30/05/2024,17:00,DOMINICAN REPUBLIC - LDF,Moca,Universidad O&M,2.15,3.25,3.0,2.05,1.6,1.86,1.9
M3t2cByK,30/05/2024,11:00,EGYPT - EGYPT CUP,Al Masry,Gomhoriat Shebin,1.35,4.15,7.7,1.93,1.7,2.35,1.56
xUoXikas,30/05/2024,14:00,EGYPT - EGYPT CUP,El Ismaily,Al Qanah,1.65,3.2,5.1,2.12,1.57,2.12,1.69
ClaiLFMT,30/05/2024,09:00,ETHIOPIA - PREMIER LEAGUE,Ethiopia Nigd Bank,Bahir Dar Kenema,2.12,3.05,3.2,2.05,1.62,1.85,1.91
0jwdvbcU,30/05/2024,12:00,FINLAND - YKKONEN,KuPS Akatemia,Vaajakoski,2.0,4.2,2.55,1.65,2.2,1.62,2.2
4Km33mQr,30/05/2024,13:00,FINLAND - YKKONEN,JJK Jyvaskyla,OLS Oulu,2.63,4.0,2.05,1.57,2.35,1.57,2.25
GnafOyA6,30/05/2024,10:30,GERMANY - JUNIOREN BUNDESLIGA PLAY OFFS,Dortmund U19,Hoffenheim U19,2.15,3.75,2.77,1.31,2.9,1.29,3.0
lYMBcDlR,30/05/2024,15:00,ICELAND - BESTA DEILD KARLA,Valur,Stjarnan,1.82,4.05,3.55,1.5,2.42,1.52,2.37
6D9wgXdr,30/05/2024,17:15,ICELAND - BESTA DEILD KARLA,Breidablik,Vikingur Reykjavik,2.45,3.75,2.47,1.42,2.65,1.38,2.8
A3aPImUb,30/05/2024,09:00,INDONESIA - LIGA 1,Borneo,Bali United,1.93,3.45,3.6,1.62,2.02,1.55,2.15
YiFQzNDT,30/05/2024,14:30,ISRAEL - STATE CUP,Maccabi Petah Tikva,H. Beer Sheva,3.45,3.65,1.9,1.65,1.98,1.6,2.05
827tKNqo,30/05/2024,15:30,ITALY - SERIE B,Cremonese,Venezia,2.15,3.4,3.3,2.05,1.8,1.75,2.0
ddseEtgU,30/05/2024,12:00,LITHUANIA - LITHUANIAN CUP,Transinvest,Zalgiris,8.0,3.8,1.38,1.82,1.82,2.17,1.66
fHChs5S1,30/05/2024,15:30,MONTENEGRO - MONTENEGRIN CUP,Jezero,Buducnost,4.3,3.85,1.62,1.65,1.98,1.68,2.13
0tWhNxwR,30/05/2024,12:30,POLAND - DIVISION 1,Motor Lublin,Leczna,2.15,3.1,3.4,2.1,1.7,1.83,1.83
KQCPHG0l,30/05/2024,15:30,POLAND - DIVISION 1,Arka Gdynia,Odra Opole,1.62,3.75,5.0,1.98,1.88,1.91,1.8
2NuyXwHl,30/05/2024,09:00,POLAND - CENTRAL YOUTH LEAGUE,Sandecja U19,Polonia W. U19,4.85,4.65,1.45,1.31,3.04,1.41,2.6
ANBjxEUI,30/05/2024,13:00,SERBIA - SUPER LIGA,FK Indjija,Zeleznicar Pancevo,5.5,3.45,1.65,1.85,1.9,1.78,1.93
4rQe6xFn,30/05/2024,19:00,SOUTH AMERICA - COPA SUDAMERICANA,Athletico-PR (Bra),Ameliano (Par),1.22,6.25,12.0,1.67,2.15,2.5,1.5
rZOa5dUh,30/05/2024,19:00,SOUTH AMERICA - COPA SUDAMERICANA,Danubio (Uru),Rayo Zuliano (Ven),1.13,8.5,23.0,1.36,3.1,2.25,1.57
A9GoRCz8,30/05/2024,21:00,SOUTH AMERICA - COPA SUDAMERICANA,Cruzeiro (Bra),U. Catolica (Ecu),1.5,4.33,6.25,1.85,2.0,1.91,1.8
OC4TkdD8,30/05/2024,21:00,SOUTH AMERICA - COPA SUDAMERICANA,Union La Calera (Chi),Alianza (Col),1.85,3.3,4.75,2.25,1.62,2.0,1.73
QgGSNHsT,30/05/2024,14:00,TURKEY - 1. LIG,Sakaryaspor,Bodrumspor,2.8,3.0,2.55,2.05,1.75,1.8,1.91
A5MGGkEf,30/05/2024,11:00,UZBEKISTAN - SUPER LEAGUE,Din. Samarkand,Qizilqum,2.35,2.92,3.1,2.05,1.6,1.75,1.85
